FLT,"FleetCor Technologies, Inc.",-0.30000001192092896 0.30000001192092896,-0.800000011920929 0.800000011920929,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,0.0 0.0,0.0 0.0,0.0 0.0,0.0 0.0,-0.800000011920929 0.800000011920929,-0.6000000238418579 0.6000000238418579,-0.5 0.5,-0.8999999761581421 0.8999999761581421,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,0.20000000298023224 0.20000000298023224,-0.8999999761581421 0.8999999761581421,-0.800000011920929 0.800000011920929,-0.10000000149011612 0.10000000149011612,-0.4000000059604645 0.4000000059604645,-0.699999988079071 0.699999988079071,-0.8999999761581421 0.8999999761581421,0.10000000149011612 0.10000000149011612,0.0 0.0,-0.20000000298023224 0.20000000298023224,0.0 0.0,-0.5 0.5,0.10000000149011612 0.10000000149011612,-0.5 0.5,0.5 0.5,-0.10000000149011612 0.10000000149011612
FN,Fabrinet,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612
MMS,"MAXIMUS, Inc.",-0.20000000298023224 0.20000000298023224,0.699999988079071 0.699999988079071,-0.20000000298023224 0.20000000298023224,-0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,0.6000000238418579 0.6000000238418579,-0.4000000059604645 0.4000000059604645,-0.4000000059604645 0.4000000059604645,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,-0.4000000059604645 0.4000000059604645,0.20000000298023224 0.20000000298023224,0.6000000238418579 0.6000000238418579,0.5 0.5,-0.6000000238418579 0.6000000238418579,-0.6000000238418579 0.6000000238418579,0.0 0.0,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,0.5 0.5,0.20000000298023224 0.20000000298023224,0.0 0.0,0.10000000149011612 0.10000000149011612,0.699999988079071 0.699999988079071,0.0 0.0,0.0 0.0,0.20000000298023224 0.20000000298023224,-0.699999988079071 0.699999988079071,0.0 0.0,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.0 0.0,
SAAS,"inContact, Inc.",-0.20000000298023224 0.20000000298023224,0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,-0.4000000059604645 0.4000000059604645,-0.4000000059604645 0.4000000059604645,0.6000000238418579 0.6000000238418579,-0.4000000059604645 0.4000000059604645,-0.4000000059604645 0.4000000059604645,-0.800000011920929 0.800000011920929,-0.5 0.5,-0.4000000059604645 0.4000000059604645,0.20000000298023224 0.20000000298023224,0.6000000238418579 0.6000000238418579,0.5 0.5,-0.6000000238418579 0.6000000238418579,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,0.0 0.0,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,0.0 0.0,0.10000000149011612 0.10000000149011612,0.699999988079071 0.699999988079071,0.0 0.0,0.0 0.0,0.20000000298023224 0.20000000298023224,-0.699999988079071 0.699999988079071,0.0 0.0,-0.6000000238418579 0.6000000238418579,0.0 0.0,-0.699999988079071 0.699999988079071,0.6000000238418579 0.6000000238418579,-0.30000001192092896 0.30000001192092896,
PWX,Providence and Worcester Railroad Company,0.5 0.5,0.699999988079071 0.699999988079071,-0.5 0.5,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.699999988079071 0.699999988079071,-0.699999988079071 0.699999988079071,0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.5 0.5,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,0.30000001192092896 0.30000001192092896,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.8999999761581421 0.8999999761581421,0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,0.0 0.0,,
MON,Monsanto Company,0.0 0.0,-0.6000000238418579 0.6000000238418579,-0.699999988079071 0.699999988079071,0.4000000059604645 0.4000000059604645,-0.800000011920929 0.800000011920929,0.5 0.5,0.0 0.0,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,0.30000001192092896 0.30000001192092896,-0.8999999761581421 0.8999999761581421,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,-0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,0.4000000059604645 0.4000000059604645,-0.800000011920929 0.800000011920929,-0.4000000059604645 0.4000000059604645,0.0 0.0,0.30000001192092896 0.30000001192092896,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.0 0.0,-0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.0 0.0,-0.800000011920929 0.800000011920929,0.800000011920929 0.800000011920929,0.6000000238418579 0.6000000238418579,,
VRNT,Verint Systems Inc.,0.5 0.5,-0.4000000059604645 0.4000000059604645,-0.20000000298023224 0.20000000298023224,-0.699999988079071 0.699999988079071,-0.699999988079071 0.699999988079071,-0.699999988079071 0.699999988079071,-0.4000000059604645 0.4000000059604645,-0.699999988079071 0.699999988079071,-0.6000000238418579 0.6000000238418579,0.4000000059604645 0.4000000059604645,-0.5 0.5,-0.8999999761581421 0.8999999761581421,0.0 0.0,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,-0.20000000298023224 0.20000000298023224,-0.699999988079071 0.699999988079071,0.0 0.0,-0.699999988079071 0.699999988079071,-0.5 0.5,-0.30000001192092896 0.30000001192092896,-0.4000000059604645 0.4000000059604645,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.5 0.5,0.800000011920929 0.800000011920929,0.30000001192092896 0.30000001192092896,0.20000000298023224 0.20000000298023224,-0.30000001192092896 0.30000001192092896,-0.6000000238418579 0.6000000238418579,
UNB,"Union Bankshares, Inc.",0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.6000000238418579 0.6000000238418579,0.800000011920929 0.800000011920929,-0.30000001192092896 0.30000001192092896,-0.699999988079071 0.699999988079071,-0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,-0.8999999761581421 0.8999999761581421,0.0 0.0,-0.20000000298023224 0.20000000298023224,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,0.0 0.0,0.4000000059604645 0.4000000059604645,0.30000001192092896 0.30000001192092896,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,-0.699999988079071 0.699999988079071,-0.20000000298023224 0.20000000298023224,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,-0.800000011920929 0.800000011920929
FIBK,First Interstate Bancsystem Inc.,0.10000000149011612 0.10000000149011612,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.5 0.5,0.10000000149011612 0.10000000149011612,0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,-0.4000000059604645 0.4000000059604645,0.0 0.0,0.0 0.0,0.10000000149011612 0.10000000149011612,-0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,
FCTY,"1st Century Bancshares, Inc.",0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612
Ticker,Name,20090101,20090401,20090701,20091001,20100101,20100401,20100701,20101001,20110101,20110401,20110701,20111001,20120101,20120401,20120701,20121001,20130101,20130401,20130701,20131001,20140101,20140401,20140701,20141001,20150101,20150401,20150701,20151001,20160101,20160401,20160701,20161001,20170101,20170401,20170701,20171001
WSBF,"Waterstone Financial, Inc.",0.800000011920929 0.800000011920929,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,0.0 0.0,-0.800000011920929 0.800000011920929,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.0 0.0,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,-0.5 0.5,-0.5 0.5,0.10000000149011612 0.10000000149011612,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.5 0.5,0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,0.5 0.5,0.0 0.0,-0.20000000298023224 0.20000000298023224,-0.5 0.5,0.0 0.0,0.5 0.5,0.0 0.0,-0.800000011920929 0.800000011920929,-0.699999988079071 0.699999988079071,0.30000001192092896 0.30000001192092896,0.4000000059604645 0.4000000059604645,0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,-0.800000011920929 0.800000011920929
ALCS,"ALCO Stores, Inc.",-0.699999988079071 0.699999988079071,0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,-0.30000001192092896 0.30000001192092896,-0.800000011920929 0.800000011920929,-0.4000000059604645 0.4000000059604645,-0.8999999761581421 0.8999999761581421,-0.699999988079071 0.699999988079071,0.20000000298023224 0.20000000298023224,0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,-0.30000001192092896 0.30000001192092896,-0.6000000238418579 0.6000000238418579,-0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,-0.699999988079071 0.699999988079071,-0.20000000298023224 0.20000000298023224,-0.30000001192092896 0.30000001192092896,-0.8999999761581421 0.8999999761581421,0.699999988079071 0.699999988079071,-0.30000001192092896 0.30000001192092896,0.20000000298023224 0.20000000298023224,-0.10000000149011612 0.10000000149011612,0.0 0.0,-0.6000000238418579 0.6000000238418579,0.0 0.0,-0.4000000059604645 0.4000000059604645,-0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,-0.6000000238418579 0.6000000238418579,0.0 0.0,-0.800000011920929 0.800000011920929,-0.5 0.5,0.10000000149011612 0.10000000149011612
STRS,Stratus Properties Inc.,0.0 0.0,-0.5 0.5,-0.5 0.5,-0.800000011920929 0.800000011920929,-0.800000011920929 0.800000011920929,0.30000001192092896 0.30000001192092896,0.20000000298023224 0.20000000298023224,0.800000011920929 0.800000011920929,0.6000000238418579 0.6000000238418579,0.30000001192092896 0.30000001192092896,-0.800000011920929 0.800000011920929,0.699999988079071 0.699999988079071,0.5 0.5,0.0 0.0,0.0 0.0,-0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,-0.10000000149011612 0.10000000149011612,-0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,0.5 0.5,0.0 0.0,-0.30000001192092896 0.30000001192092896,0.4000000059604645 0.4000000059604645,-0.6000000238418579 0.6000000238418579,-0.8999999761581421 0.8999999761581421,-0.4000000059604645 0.4000000059604645,-0.800000011920929 0.800000011920929,-0.4000000059604645 0.4000000059604645,-0.6000000238418579 0.6000000238418579,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,
PBI,Pitney Bowes Inc.,0.10000000149011612 0.10000000149011612,0.0 0.0,-0.6000000238418579 0.6000000238418579,0.30000001192092896 0.30000001192092896,0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.800000011920929 0.800000011920929,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,0.6000000238418579 0.6000000238418579,-0.30000001192092896 0.30000001192092896,0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.8999999761581421 0.8999999761581421,0.10000000149011612 0.10000000149011612,0.0 0.0,0.699999988079071 0.699999988079071,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,
DD,E. I. du Pont de Nemours and Company,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,-0.699999988079071 0.699999988079071,0.4000000059604645 0.4000000059604645,0.0 0.0,0.20000000298023224 0.20000000298023224,0.6000000238418579 0.6000000238418579,0.20000000298023224 0.20000000298023224,-0.10000000149011612 0.10000000149011612,0.0 0.0,0.10000000149011612 0.10000000149011612,0.5 0.5,-0.10000000149011612 0.10000000149011612,0.6000000238418579 0.6000000238418579,0.4000000059604645 0.4000000059604645,-0.20000000298023224 0.20000000298023224,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.800000011920929 0.800000011920929,-0.20000000298023224 0.20000000298023224,0.20000000298023224 0.20000000298023224,-0.5 0.5,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.6000000238418579 0.6000000238418579,0.5 0.5,0.4000000059604645 0.4000000059604645,0.4000000059604645 0.4000000059604645,0.0 0.0,0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,0.30000001192092896 0.30000001192092896,
AETI,"American Electric Technologies, Inc",0.4000000059604645 0.4000000059604645,0.6000000238418579 0.6000000238418579,-0.8999999761581421 0.8999999761581421,0.0 0.0,-0.20000000298023224 0.20000000298023224,0.30000001192092896 0.30000001192092896,-0.699999988079071 0.699999988079071,-0.30000001192092896 0.30000001192092896,0.5 0.5,0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.5 0.5,0.20000000298023224 0.20000000298023224,0.5 0.5,-0.4000000059604645 0.4000000059604645,-0.4000000059604645 0.4000000059604645,0.4000000059604645 0.4000000059604645,-0.4000000059604645 0.4000000059604645,0.0 0.0,0.0 0.0,-0.4000000059604645 0.4000000059604645,0.30000001192092896 0.30000001192092896,0.0 0.0,0.20000000298023224 0.20000000298023224,0.0 0.0,-0.800000011920929 0.800000011920929,-0.6000000238418579 0.6000000238418579,-0.699999988079071 0.699999988079071,0.699999988079071 0.699999988079071,0.20000000298023224 0.20000000298023224,0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612
ARP,"Atlas Resource Partners, L.P.",0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.5 0.5,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612
BBSI,Barrett Business Services Inc.,-0.800000011920929 0.800000011920929,0.0 0.0,-0.5 0.5,-0.699999988079071 0.699999988079071,-0.6000000238418579 0.6000000238418579,-0.4000000059604645 0.4000000059604645,0.699999988079071 0.699999988079071,0.0 0.0,0.800000011920929 0.800000011920929,0.8999999761581421 0.8999999761581421,0.699999988079071 0.699999988079071,0.0 0.0,-0.5 0.5,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.0 0.0,-0.800000011920929 0.800000011920929,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.8999999761581421 0.8999999761581421,0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.699999988079071 0.699999988079071,-0.30000001192092896 0.30000001192092896,-0.5 0.5,-0.6000000238418579 0.6000000238418579,0.30000001192092896 0.30000001192092896,0.0 0.0,0.6000000238418579 0.6000000238418579,-0.699999988079071 0.699999988079071,-0.30000001192092896 0.30000001192092896,
EXAR,Exar Corp.,-0.6000000238418579 0.6000000238418579,-0.5 0.5,-0.4000000059604645 0.4000000059604645,-0.800000011920929 0.800000011920929,0.20000000298023224 0.20000000298023224,-0.800000011920929 0.800000011920929,-0.6000000238418579 0.6000000238418579,-0.699999988079071 0.699999988079071,-0.30000001192092896 0.30000001192092896,-0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,-0.30000001192092896 0.30000001192092896,-0.699999988079071 0.699999988079071,-0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,0.0 0.0,0.10000000149011612 0.10000000149011612,-0.5 0.5,0.10000000149011612 0.10000000149011612,-0.4000000059604645 0.4000000059604645,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,-0.800000011920929 0.800000011920929,-0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.30000001192092896 0.30000001192092896,0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,0.0 0.0,0.20000000298023224 0.20000000298023224,,
NEWN,New Energy Systems Group,0.5 0.5,-0.699999988079071 0.699999988079071,0.699999988079071 0.699999988079071,-0.30000001192092896 0.30000001192092896,-0.20000000298023224 0.20000000298023224,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,-0.5 0.5,0.20000000298023224 0.20000000298023224,0.20000000298023224 0.20000000298023224,0.4000000059604645 0.4000000059604645,-0.20000000298023224 0.20000000298023224,-0.20000000298023224 0.20000000298023224,-0.699999988079071 0.699999988079071,-0.800000011920929 0.800000011920929,-0.699999988079071 0.699999988079071,0.4000000059604645 0.4000000059604645,-0.800000011920929 0.800000011920929,0.699999988079071 0.699999988079071,-0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,-0.4000000059604645 0.4000000059604645,-0.5 0.5,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,-0.4000000059604645 0.4000000059604645,-0.4000000059604645 0.4000000059604645,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,-0.20000000298023224 0.20000000298023224,
LZB,La-Z-Boy Incorporated,0.5 0.5,0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,0.699999988079071 0.699999988079071,0.20000000298023224 0.20000000298023224,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,0.4000000059604645 0.4000000059604645,-0.800000011920929 0.800000011920929,0.0 0.0,0.800000011920929 0.800000011920929,-0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,0.20000000298023224 0.20000000298023224,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,-0.30000001192092896 0.30000001192092896,-0.5 0.5,0.10000000149011612 0.10000000149011612,-0.4000000059604645 0.4000000059604645,0.20000000298023224 0.20000000298023224,0.4000000059604645 0.4000000059604645,0.699999988079071 0.699999988079071,0.0 0.0,0.800000011920929 0.800000011920929,0.8999999761581421 0.8999999761581421,0.4000000059604645 0.4000000059604645,0.20000000298023224 0.20000000298023224,
MRLN,Marlin Business Services Corp.,-0.800000011920929 0.800000011920929,0.20000000298023224 0.20000000298023224,-0.20000000298023224 0.20000000298023224,0.0 0.0,-0.10000000149011612 0.10000000149011612,0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,-0.5 0.5,0.0 0.0,-0.20000000298023224 0.20000000298023224,0.4000000059604645 0.4000000059604645,0.699999988079071 0.699999988079071,0.30000001192092896 0.30000001192092896,0.20000000298023224 0.20000000298023224,0.0 0.0,-0.6000000238418579 0.6000000238418579,-0.6000000238418579 0.6000000238418579,-0.699999988079071 0.699999988079071,0.0 0.0,-0.10000000149011612 0.10000000149011612,-0.4000000059604645 0.4000000059604645,-0.20000000298023224 0.20000000298023224,0.0 0.0,0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,0.699999988079071 0.699999988079071,0.30000001192092896 0.30000001192092896,-0.5 0.5,-0.8999999761581421 0.8999999761581421,0.0 0.0,-0.30000001192092896 0.30000001192092896,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612
GRC,Gorman-Rupp Co.,-0.8999999761581421 0.8999999761581421,-0.5 0.5,0.0 0.0,0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,-0.5 0.5,0.0 0.0,0.4000000059604645 0.4000000059604645,0.5 0.5,-0.20000000298023224 0.20000000298023224,0.4000000059604645 0.4000000059604645,-0.20000000298023224 0.20000000298023224,0.0 0.0,0.0 0.0,-0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,-0.699999988079071 0.699999988079071,-0.4000000059604645 0.4000000059604645,-0.10000000149011612 0.10000000149011612,0.5 0.5,0.10000000149011612 0.10000000149011612,0.5 0.5,0.6000000238418579 0.6000000238418579,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,0.0 0.0,-0.10000000149011612 0.10000000149011612,-0.4000000059604645 0.4000000059604645,,,,
